2076200 	5069 	2900 	2168 	2327 	734 
2757852 	5900 	3308 	2592 	2328 	804 
3483690 	6796 	3704 	3092 	2298 	858 
4024625 	7536 	4067 	3469 	2668 	900 
4816669 	8242 	4359 	3883 	3028 	971 
5642607 	9755 	5000 	4755 	3234 	1038 
7395852 	11050 	5506 	5544 	3536 	1146 
8634783 	12487 	6143 	6344 	3971 	1306 
10002665 	14772 	7593 	7179 	5031 	1516 
11546028 	17645 	9281 	8364 	6026 	1771 
13513630 	21129 	11357 	9773 	7164 	2086 
16276389 	25056 	13470 	11586 	8132 	2414 
20263809 	30081 	16005 	14077 	9597 	2855 
25213257 	34824 	18502 	16321 	11165 	3294 
26955487 	37472 	19420 	18053 	13353 	3698 
32561678 	43726 	23015 	20712 	16113 	4364 
39876393 	50545 	26447 	24098 	16844 	5444 
43028882 	56209 	29689 	26520 	19308 	6397 
